text,url,label
"Government announces new healthcare subsidy for low-income families effective next quarter.","https://www.reuters.com/world/health/new-policy",REAL
"Shocking cure discovered! Doctors hate this one weird trick that guarantees 100 percent recovery.","http://bit.ly/miracle-cure-now",FAKE
"Election commission releases official turnout report with audited numbers.","https://apnews.com/article/election-turnout-report",REAL
"Secret military operation exposed by anonymous source with leaked images.","http://news-review-click.zip/secret-operation",FAKE
"Local authorities confirm bridge repair completion after safety inspection.","https://www.bbc.com/news/bridge-repair-update",REAL
"Miracle investment doubles money overnight no risk involved claim experts.","http://192.168.1.20/invest-fast-win",FAKE
"University publishes peer-reviewed climate study with open dataset.","https://www.nytimes.com/2026/03/20/climate-study",REAL
"Must read before deleted! Hidden tax law lets everyone become millionaire instantly.","http://tinyurl.com/tax-secret-wealth",FAKE
"Central bank releases inflation bulletin with revised projections.","https://www.reuters.com/markets/inflation-bulletin",REAL
"Breaking: celebrity cloned in secret lab and replaced in public appearances.","http://viral-click.country/celebrity-clone-proof",FAKE
